iter	Passed	Remaining
0	0	97
1	1	94
2	3	102
3	4	103
4	5	112
5	7	115
6	8	117
7	9	111
8	11	111
9	12	112
10	13	110
11	15	110
12	15	105
13	17	104
14	18	102
15	19	104
16	21	103
17	22	102
18	23	101
19	25	100
20	26	98
21	27	96
22	28	95
23	29	93
24	30	91
25	31	89
26	32	87
27	33	86
28	34	84
29	35	83
30	36	81
31	37	80
32	38	78
33	39	76
34	40	75
35	41	73
36	42	72
37	43	70
38	44	68
39	44	67
40	45	66
41	46	63
42	47	62
43	47	60
44	48	59
45	49	57
46	50	56
47	50	55
48	51	53
49	52	52
50	52	50
51	53	49
52	54	48
53	54	46
54	55	45
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	36
62	60	35
63	61	34
64	62	33
65	62	32
66	63	31
67	64	30
68	64	29
69	65	27
70	65	26
71	66	25
72	67	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	73	14
84	74	13
85	75	12
86	75	11
87	76	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	82	0
99	83	0
